时间t(s),弹簧瞬时长度l(m),滑移量xi(m)
133.6,0.4094089242,-0.04254857582
133.8,0.4016282867,-0.05032921325
134,0.3994818455,-0.05247565447
134.2,0.4032703087,-0.04868719129
134.4,0.41272517,-0.03923233004
134.6,0.426934351,-0.02502314903
134.8,0.4443365518,-0.007620948167
135,0.4628635109,0.01090601091
135.2,0.4802270958,0.02826959582
135.4,0.4942680507,0.0423105507
135.6,0.5032666321,0.05130913208
135.8,0.5061559564,0.05419845641
136,0.5026299388,0.05067243878
136.2,0.4931615937,0.04120409369
136.4,0.4789399565,0.02698245648
136.6,0.4617190828,0.009761582799
136.8,0.4435791948,-0.008378305215
137,0.426634383,-0.02532311697
137.2,0.4127577451,-0.03919975493
137.4,0.4033954652,-0.04856203483
137.6,0.3994914603,-0.05246603972
137.8,0.401475063,-0.050482437
138,0.4092369668,-0.0427205332
138.2,0.4220681325,-0.02988936751
138.4,0.4386215862,-0.01333591381
138.6,0.4569906547,0.005033154736
138.8,0.474941192,0.02298369201
139,0.4902441545,0.03828665453
139.2,0.5010081248,0.04905062477
139.4,0.5059321461,0.0539746461
139.6,0.5044511876,0.05249368755
139.8,0.4967837055,0.04482620552
140,0.4838950273,0.03193752731
140.2,0.4673762541,0.01541875414
140.4,0.4492350107,-0.002722489264
140.6,0.4316180209,-0.0203394791
140.8,0.4165227116,-0.0354347884
141,0.4055710138,-0.04638648619
141.2,0.399888161,-0.05206933905
141.4,0.4000662383,-0.05189126173
141.6,0.4061476194,-0.04580988057
141.8,0.4175836854,-0.03437381458
142,0.4331969321,-0.01876056787
142.2,0.4512273588,-0.000730141236
142.4,0.4695190503,0.01756155034
142.6,0.4858228221,0.03386532214
142.8,0.4981291541,0.04617165405
143,0.5049453154,0.05298781541
143.2,0.5054734681,0.05351596812
143.4,0.4996884163,0.04773091628
143.6,0.4883274546,0.03636995457
143.8,0.4727956194,0.0208381194
144,0.454982972,0.003025472004
144.2,0.4370068392,-0.01495066076
144.4,0.4209261332,-0.03103136678
144.6,0.4084972894,-0.04346021058
144.8,0.4010231688,-0.05093433121
145,0.399290451,-0.05266704901
145.2,0.4035403759,-0.0484171241
145.4,0.41342248,-0.03853501998
145.6,0.4279443398,-0.02401316021
145.8,0.4454910064,-0.006466493553
146,0.4639798113,0.01202231132
146.2,0.4811437869,0.02918628686
146.4,0.4948671323,0.04290963231
