时间t(s),相对位移u=zo-zf(m),相对角phi=thetao-thetaf(rad),直线PTO功率Pl(W),旋转PTO功率Ptheta(W)
73.8,0.0490403531,-0.002309915267,16.04253771,0.01969701564
74,0.03829803481,-0.001321323011,43.98044135,0.02867833712
74.2,0.02303073154,-0.0002074391561,71.99638817,0.03226692949
74.4,0.005022718565,0.0009092650127,87.32649866,0.02899131068
74.6,-0.01361428748,0.001907422019,82.94412629,0.02031543257
74.8,-0.03068925528,0.00268029053,60.8073447,0.0099459972
75,-0.04419003289,0.00314752137,31.00604704,0.002191768197
75.2,-0.05252109442,0.00326384335,7.178498012,0.000103605049
75.4,-0.05469265862,0.003023703917,0.28106496,0.004204912482
75.6,-0.05043868525,0.002461367758,13.56056715,0.01234825392
75.8,-0.04024962792,0.001646499393,41.03950742,0.02073117531
76,-0.0253158926,0.0006757731615,70.2220948,0.02559764908
76.2,-0.007388524015,-0.000338493909,87.79520348,0.02486374891
76.4,0.01142653806,-0.001281355929,85.72043429,0.01895946114
76.6,0.02891639408,-0.002048388661,64.9262065,0.01054218416
76.8,0.04302204137,-0.002557462554,34.9019809,0.003243951641
77,0.05208131779,-0.002757795044,9.371735284,3.624273513e-05
77.2,0.05502519039,-0.002635264246,0.02158964178,0.001948204904
77.4,0.05150415095,-0.002213407526,11.1515978,0.007695019618
77.6,0.04192974264,-0.001550033927,37.70195916,0.01435078835
77.8,0.02742628321,-0.0007298900939,67.56027906,0.0187293783
78,0.009698476799,0.0001457244397,87.09616117,0.0188293922
78.2,-0.009169442219,0.0009711476873,87.39115146,0.01468997195
78.4,-0.02695929578,0.00164890486,68.31367026,0.008289681672
78.6,-0.04158026287,0.002101139452,38.57574999,0.002565280599
78.8,-0.05131503921,0.002278589881,11.74811154,2.562782701e-05
79,-0.0550218157,0.002166073575,0.05893860898,0.001608118682
79.2,-0.0522682842,0.001783858463,8.813064385,0.006297210158
79.4,-0.04338193551,0.001184790793,33.9804957,0.01166123976
79.6,-0.02941081855,0.0004475503194,64.05032562,0.01503597631
79.8,-0.01199950653,-0.000333139779,85.29517425,0.01478904428
80,0.006804987902,-0.001058163898,88.03561412,0.01107213582
80.2,0.02479437152,-0.001636125648,71.04358613,0.005716530314
80.4,0.03985882225,-0.001994470057,42.08111494,0.001333175655
80.6,0.05023472156,-0.002088288097,14.3398859,5.126929385e-05
80.8,0.05471124042,-0.001905754117,0.4175016374,0.002495697327
81,0.05277156654,-0.001469549413,6.583596152,0.00748761492
81.2,0.04465231437,-0.0008341040563,29.94674575,0.0126094238
81.4,0.03131432894,-7.898757644e-05,59.80146668,0.01536647522
81.6,0.01432853341,0.00070076165,82.52579336,0.01439454613
81.8,-0.0043095538,0.0014062127,87.78634211,0.0101374985
82,-0.02241466615,0.001946639457,73.22279552,0.004666069349
82.2,-0.03786830448,0.002250689217,45.48847213,0.0007123633552
82.4,-0.04886676975,0.002275279394,17.19064005,0.0003671923062
82.6,-0.05413165552,0.002011145171,1.14008472,0.004053875499
82.8,-0.05305824325,0.001484355359,4.534772234,0.01027208597
83,-0.04578460676,0.0007535901177,25.71870791,0.0162512686
83.2,-0.03317358314,-9.652331354e-05,54.97393777,0.01922732412
83.4,-0.01670999953,-0.000965251341,78.96547847,0.01775651905
83.6,0.001674543347,-0.001747624801,86.80403263,0.01244901259
83.8,0.0198285998,-0.002346946178,74.96925351,0.005760629811
84,0.03563281843,-0.002686455602,48.86858486,0.000911948585
84.2,0.04724736823,-0.0027187676,20.34400529,0.0004121065991
84.4,0.05332596734,-0.002431944019,2.27832289,0.004861362246
84.6,0.05317164133,-0.001851456653,2.759036037,0.01259597766
